year,state,population,State,Abbrev,Code
1971,LA,3710415,Louisiana,La.,LA
1971,MA,5738634,Massachusetts,Mass.,MA
1971,MD,4022470,Maryland,Md.,MD
1971,ME,1015679,Maine,Maine,ME
1971,MI,8971957,Michigan,Mich.,MI
1971,MN,3851972,Minnesota,Minn.,MN
1971,MO,4722984,Missouri,Mo.,MO
1971,MS,2265118,Mississippi,Miss.,MS
1971,MT,711153,Montana,Mont.,MT
1971,NC,5200624,North Carolina,N.C.,NC
1971,ND,626814,North Dakota,N.D.,ND
1971,NE,1504425,Nebraska,Nebr.,NE
1971,NH,762190,New Hampshire,N.H.,NH
1971,NJ,7281992,New Jersey,N.J.,NJ
1971,NM,1053333,New Mexico,N.M.,NM
1971,NV,520027,Nevada,Nev.,NV
1971,NY,18364991,New York,N.Y.,NY
1971,OH,10734897,Ohio,Ohio,OH
1971,OK,2618115,Oklahoma,Okla.,OK
1971,OR,2149942,Oregon,Ore.,OR
1971,PA,11884462,Pennsylvania,Pa.,PA
1971,RI,963988,Rhode Island,R.I.,RI
1971,SC,2661616,South Carolina,S.C.,SC
1971,SD,671564,South Dakota,S.D.,SD
1971,TN,4010338,Tennessee,Tenn.,TN
1971,TX,11510036,Texas,Tex.,TX
1971,UT,1100798,Utah,Utah,UT
1971,VA,4752480,Virginia,Va.,VA
1971,VT,454378,Vermont,Vt.,VT
1971,WA,3447070,Washington,Wash.,WA
1971,WI,4460012,Wisconsin,Wis.,WI
1971,WV,1770346,West Virginia,W.Va.,WV
1971,WY,340058,Wyoming,Wyo.,WY
1972,AK,326431,Alaska,Alaska,AK
1972,AL,3540003,Alabama,Ala.,AL
1972,AR,2017987,Arkansas,Ark.,AR
1972,AZ,2008852,Arizona,Ariz.,AZ
1972,CA,20584918,California,Calif.,CA
1972,CO,2404715,Colorado,Colo.,CO
1972,CT,3069631,Connecticut,Conn.,CT
1972,DC,743778,District of Columbia,D.C.,DC
1972,DE,573824,Delaware,Del.,DE
1972,FL,7520382,Florida,Fla.,FL
1972,GA,4806621,Georgia,Ga.,GA
1972,HI,827610,Hawaii,Hawaii,HI
1972,IA,2860464,Iowa,Iowa,IA
1972,ID,763315,Idaho,Idaho,ID
1972,IL,11258208,Illinois,Ill.,IL
1972,IN,5296219,Indiana,Ind.,IN
1972,KS,2255791,Kansas,Kans.,KS
1972,KY,3336275,Kentucky,Ky.,KY
1972,LA,3761799,Louisiana,La.,LA
1972,MA,5762150,Massachusetts,Mass.,MA
1972,MD,4081123,Maryland,Md.,MD
1972,ME,1034816,Maine,Maine,ME
1972,MI,9024729,Michigan,Mich.,MI
1972,MN,3866890,Minnesota,Minn.,MN
1972,MO,4753328,Missouri,Mo.,MO
1972,MS,2306980,Mississippi,Miss.,MS
1972,MT,719272,Montana,Mont.,MT
1972,NC,5296063,North Carolina,N.C.,NC
1972,ND,631073,North Dakota,N.D.,ND
1972,NE,1518356,Nebraska,Nebr.,NE
1972,NH,781710,New Hampshire,N.H.,NH
1972,NJ,7336570,New Jersey,N.J.,NJ
1972,NM,1077889,New Mexico,N.M.,NM
1972,NV,546805,Nevada,Nev.,NV
1972,NY,18351888,New York,N.Y.,NY
1972,OH,10747042,Ohio,Ohio,OH
1972,OK,2657777,Oklahoma,Okla.,OK
1972,OR,2195316,Oregon,Ore.,OR
1972,PA,11904626,Pennsylvania,Pa.,PA
1972,RI,976384,Rhode Island,R.I.,RI
1972,SC,2718294,South Carolina,S.C.,SC
1972,SD,677476,South Dakota,S.D.,SD
1972,TN,4088549,Tennessee,Tenn.,TN
1972,TX,11759213,Texas,Tex.,TX
1972,UT,1134632,Utah,Utah,UT
1972,VA,4827910,Virginia,Va.,VA
1972,VT,463212,Vermont,Vt.,VT
1972,WA,3446895,Washington,Wash.,WA
1972,WI,4498455,Wisconsin,Wis.,WI
1972,WV,1796949,West Virginia,W.Va.,WV
1972,WY,346893,Wyoming,Wyo.,WY
1973,AK,333134,Alaska,Alaska,AK
1973,AL,3580759,Alabama,Ala.,AL
1973,AR,2058402,Arkansas,Ark.,AR
1973,AZ,2125305,Arizona,Ariz.,AZ
1973,CA,20867894,California,Calif.,CA
1973,CO,2495942,Colorado,Colo.,CO
1973,CT,3069158,Connecticut,Conn.,CT
1973,DC,733677,District of Columbia,D.C.,DC
1973,DE,579100,Delaware,Del.,DE
1973,FL,7927232,Florida,Fla.,FL
1973,GA,4906450,Georgia,Ga.,GA
1973,HI,850517,Hawaii,Hawaii,HI
1973,IA,2864033,Iowa,Iowa,IA
1973,ID,782142,Idaho,Idaho,ID
1973,IL,11260386,Illinois,Ill.,IL
1973,IN,5329163,Indiana,Ind.,IN
1973,KS,2264585,Kansas,Kans.,KS
1973,KY,3371741,Kentucky,Ky.,KY
1973,LA,3788684,Louisiana,La.,LA
1973,MA,5783836,Massachusetts,Mass.,MA
1973,MD,4109069,Maryland,Md.,MD
1973,ME,1046432,Maine,Maine,ME
1973,MI,9071832,Michigan,Mich.,MI
1973,MN,3885200,Minnesota,Minn.,MN
1973,MO,4774667,Missouri,Mo.,MO
1973,MS,2349565,Mississippi,Miss.,MS
1973,MT,727504,Montana,Mont.,MT
1973,NC,5382396,North Carolina,N.C.,NC
1973,ND,632500,North Dakota,N.D.,ND
1973,NE,1528599,Nebraska,Nebr.,NE
1973,NH,801832,New Hampshire,N.H.,NH
1973,NJ,7335280,New Jersey,N.J.,NJ
1973,NM,1104347,New Mexico,N.M.,NM
1973,NV,568946,Nevada,Nev.,NV
1973,NY,18194899,New York,N.Y.,NY
1973,OH,10767335,Ohio,Ohio,OH
1973,OK,2694412,Oklahoma,Okla.,OK
1973,OR,2238985,Oregon,Ore.,OR
1973,PA,11885290,Pennsylvania,Pa.,PA
1973,RI,978018,Rhode Island,R.I.,RI
1973,SC,2775339,South Carolina,S.C.,SC
1973,SD,678998,South Dakota,S.D.,SD
1973,TN,4138628,Tennessee,Tenn.,TN
1973,TX,12019599,Texas,Tex.,TX
1973,UT,1168826,Utah,Utah,UT
1973,VA,4906505,Virginia,Va.,VA
1973,VT,468547,Vermont,Vt.,VT
1973,WA,3477308,Washington,Wash.,WA
1973,WI,4518503,Wisconsin,Wis.,WI
1973,WV,1805347,West Virginia,W.Va.,WV
1973,WY,353385,Wyoming,Wyo.,WY
1974,AK,344658,Alaska,Alaska,AK
1974,AL,3627778,Alabama,Ala.,AL
1974,AR,2100229,Arkansas,Ark.,AR
1974,AZ,2224356,Arizona,Ariz.,AZ
1974,CA,21172684,California,Calif.,CA
1974,CO,2541424,Colorado,Colo.,CO
1974,CT,3075790,Connecticut,Conn.,CT
1974,DC,720758,District of Columbia,D.C.,DC
1974,DE,583149,Delaware,Del.,DE
1974,FL,8317073,Florida,Fla.,FL
1974,GA,4994465,Georgia,Ga.,GA
1974,HI,866559,Hawaii,Hawaii,HI
1974,IA,2867942,Iowa,Iowa,IA
1974,ID,808043,Idaho,Idaho,ID
1974,IL,11273801,Illinois,Ill.,IL
1974,IN,5349955,Indiana,Ind.,IN
1974,KS,2268075,Kansas,Kans.,KS
1974,KY,3417229,Kentucky,Ky.,KY
1974,LA,3820684,Louisiana,La.,LA
1974,MA,5777027,Massachusetts,Mass.,MA
1974,MD,4133329,Maryland,Md.,MD
1974,ME,1060069,Maine,Maine,ME
1974,MI,9109456,Michigan,Mich.,MI
1974,MN,3898512,Minnesota,Minn.,MN
1974,MO,4785480,Missouri,Mo.,MO
1974,MS,2378460,Mississippi,Miss.,MS
1974,MT,737316,Montana,Mont.,MT
1974,NC,5461082,North Carolina,N.C.,NC
1974,ND,634267,North Dakota,N.D.,ND
1974,NE,1537905,Nebraska,Nebr.,NE
1974,NH,817071,New Hampshire,N.H.,NH
1974,NJ,7335230,New Jersey,N.J.,NJ
1974,NM,1129663,New Mexico,N.M.,NM
1974,NV,596747,Nevada,Nev.,NV
1974,NY,18072890,New York,N.Y.,NY
1974,OH,10765749,Ohio,Ohio,OH
1974,OK,2732590,Oklahoma,Okla.,OK
1974,OR,2281008,Oregon,Ore.,OR
1974,PA,11864002,Pennsylvania,Pa.,PA
1974,RI,953519,Rhode Island,R.I.,RI
1974,SC,2843112,South Carolina,S.C.,SC
1974,SD,679892,South Dakota,S.D.,SD
1974,TN,4201789,Tennessee,Tenn.,TN
1974,TX,12268221,Texas,Tex.,TX
1974,UT,1198852,Utah,Utah,UT
1974,VA,4978036,Virginia,Va.,VA
